,PassengerId,Survived,Name,Age,SibSp,Parch,Ticket,Fare,is-Pclass-1,is-Pclass-2,is-Sex-male,is-Embarked-S,is-Embarked-C,family_size
378,379,0,"Betros, Mr. Tannous",20.0,0,0,2648,4.0125,0,0,1,0,1,0
379,380,0,"Gustafsson, Mr. Karl Gideon",19.0,0,0,347069,7.775,0,0,1,1,0,0
381,382,1,"Nakid, Miss. Maria (""Mary"")",1.0,0,2,2653,15.7417,0,0,0,0,1,2
382,383,0,"Tikkanen, Mr. Juho",32.0,0,0,STON/O 2. 3101293,7.925,0,0,1,1,0,0
383,384,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",35.0,1,0,113789,52.0,1,0,0,1,0,1
386,387,0,"Goodwin, Master. Sidney Leonard",1.0,5,2,CA 2144,46.9,0,0,1,1,0,7
387,388,1,"Buss, Miss. Kate",36.0,0,0,27849,13.0,0,1,0,1,0,0
389,390,1,"Lehmann, Miss. Bertha",17.0,0,0,SC 1748,12.0,0,1,0,0,1,0
391,392,1,"Jansson, Mr. Carl Olof",21.0,0,0,350034,7.7958,0,0,1,1,0,0
392,393,0,"Gustafsson, Mr. Johan Birger",28.0,2,0,3101277,7.925,0,0,1,1,0,2
394,395,1,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",24.0,0,2,PP 9549,16.7,0,0,0,1,0,2
395,396,0,"Johansson, Mr. Erik",22.0,0,0,350052,7.7958,0,0,1,1,0,0
396,397,0,"Olsson, Miss. Elina",31.0,0,0,350407,7.8542,0,0,0,1,0,0
397,398,0,"McKane, Mr. Peter David",46.0,0,0,28403,26.0,0,1,1,1,0,0
398,399,0,"Pain, Dr. Alfred",23.0,0,0,244278,10.5,0,1,1,1,0,0
399,400,1,"Trout, Mrs. William H (Jessie L)",28.0,0,0,240929,12.65,0,1,0,1,0,0
400,401,1,"Niskanen, Mr. Juha",39.0,0,0,STON/O 2. 3101289,7.925,0,0,1,1,0,0
401,402,0,"Adams, Mr. John",26.0,0,0,341826,8.05,0,0,1,1,0,0
402,403,0,"Jussila, Miss. Mari Aina",21.0,1,0,4137,9.825,0,0,0,1,0,1
403,404,0,"Hakkarainen, Mr. Pekka Pietari",28.0,1,0,STON/O2. 3101279,15.85,0,0,1,1,0,1
404,405,0,"Oreskovic, Miss. Marija",20.0,0,0,315096,8.6625,0,0,0,1,0,0
405,406,0,"Gale, Mr. Shadrach",34.0,1,0,28664,21.0,0,1,1,1,0,1
406,407,0,"Widegren, Mr. Carl/Charles Peter",51.0,0,0,347064,7.75,0,0,1,1,0,0
407,408,1,"Richards, Master. William Rowe",3.0,1,1,29106,18.75,0,1,1,1,0,2
408,409,0,"Birkeland, Mr. Hans Martin Monsen",21.0,0,0,312992,7.775,0,0,1,1,0,0
414,415,1,"Sundman, Mr. Johan Julian",44.0,0,0,STON/O 2. 3101269,7.925,0,0,1,1,0,0
416,417,1,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",34.0,1,1,28220,32.5,0,1,0,1,0,2
417,418,1,"Silven, Miss. Lyyli Karoliina",18.0,0,2,250652,13.0,0,1,0,1,0,2
418,419,0,"Matthews, Mr. William John",30.0,0,0,28228,13.0,0,1,1,1,0,0
419,420,0,"Van Impe, Miss. Catharina",10.0,0,2,345773,24.15,0,0,0,1,0,2
421,422,0,"Charters, Mr. David",21.0,0,0,A/5. 13032,7.7333,0,0,1,0,0,0
422,423,0,"Zimmerman, Mr. Leo",29.0,0,0,315082,7.875,0,0,1,1,0,0
423,424,0,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",28.0,1,1,347080,14.4,0,0,0,1,0,2
424,425,0,"Rosblom, Mr. Viktor Richard",18.0,1,1,370129,20.2125,0,0,1,1,0,2
426,427,1,"Clarke, Mrs. Charles V (Ada Maria Winfield)",28.0,1,0,2003,26.0,0,1,0,1,0,1
427,428,1,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",19.0,0,0,250655,26.0,0,1,0,1,0,0
429,430,1,"Pickard, Mr. Berk (Berk Trembisky)",32.0,0,0,SOTON/O.Q. 392078,8.05,0,0,1,1,0,0
430,431,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",28.0,0,0,110564,26.55,1,0,1,1,0,0
432,433,1,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",42.0,1,0,SC/AH 3085,26.0,0,1,0,1,0,1
433,434,0,"Kallio, Mr. Nikolai Erland",17.0,0,0,STON/O 2. 3101274,7.125,0,0,1,1,0,0
434,435,0,"Silvey, Mr. William Baird",50.0,1,0,13507,55.9,1,0,1,1,0,1
436,437,0,"Ford, Miss. Doolina Margaret ""Daisy""",21.0,2,2,W./C. 6608,34.375,0,0,0,1,0,4
437,438,1,"Richards, Mrs. Sidney (Emily Hocking)",24.0,2,3,29106,18.75,0,1,0,1,0,5
439,440,0,"Kvillner, Mr. Johan Henrik Johannesson",31.0,0,0,C.A. 18723,10.5,0,1,1,1,0,0
440,441,1,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",45.0,1,1,F.C.C. 13529,26.25,0,1,0,1,0,2
441,442,0,"Hampe, Mr. Leon",20.0,0,0,345769,9.5,0,0,1,1,0,0
442,443,0,"Petterson, Mr. Johan Emil",25.0,1,0,347076,7.775,0,0,1,1,0,1
443,444,1,"Reynaldo, Ms. Encarnacion",28.0,0,0,230434,13.0,0,1,0,1,0,0
446,447,1,"Mellinger, Miss. Madeleine Violet",13.0,0,1,250644,19.5,0,1,0,1,0,1
447,448,1,"Seward, Mr. Frederic Kimber",34.0,0,0,113794,26.55,1,0,1,1,0,0
448,449,1,"Baclini, Miss. Marie Catherine",5.0,2,1,2666,19.2583,0,0,0,0,1,3
449,450,1,"Peuchen, Major. Arthur Godfrey",52.0,0,0,113786,30.5,1,0,1,1,0,0
450,451,0,"West, Mr. Edwy Arthur",36.0,1,2,C.A. 34651,27.75,0,1,1,1,0,3
452,453,0,"Foreman, Mr. Benjamin Laventall",30.0,0,0,113051,27.75,1,0,1,0,1,0
455,456,1,"Jalsevac, Mr. Ivan",29.0,0,0,349240,7.8958,0,0,1,0,1,0
456,457,0,"Millet, Mr. Francis Davis",65.0,0,0,13509,26.55,1,0,1,1,0,0
458,459,1,"Toomey, Miss. Ellen",50.0,0,0,F.C.C. 13531,10.5,0,1,0,1,0,0
460,461,1,"Anderson, Mr. Harry",48.0,0,0,19952,26.55,1,0,1,1,0,0
461,462,0,"Morley, Mr. William",34.0,0,0,364506,8.05,0,0,1,1,0,0
462,463,0,"Gee, Mr. Arthur H",47.0,0,0,111320,38.5,1,0,1,1,0,0
463,464,0,"Milling, Mr. Jacob Christian",48.0,0,0,234360,13.0,0,1,1,1,0,0
465,466,0,"Goncalves, Mr. Manuel Estanslas",38.0,0,0,SOTON/O.Q. 3101306,7.05,0,0,1,1,0,0
467,468,0,"Smart, Mr. John Montgomery",56.0,0,0,113792,26.55,1,0,1,1,0,0
469,470,1,"Baclini, Miss. Helene Barbara",0.75,2,1,2666,19.2583,0,0,0,0,1,3
471,472,0,"Cacic, Mr. Luka",38.0,0,0,315089,8.6625,0,0,1,1,0,0
472,473,1,"West, Mrs. Edwy Arthur (Ada Mary Worth)",33.0,1,2,C.A. 34651,27.75,0,1,0,1,0,3
473,474,1,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",23.0,0,0,SC/AH Basle 541,13.7917,0,1,0,0,1,0
474,475,0,"Strandberg, Miss. Ida Sofia",22.0,0,0,7553,9.8375,0,0,0,1,0,0
476,477,0,"Renouf, Mr. Peter Henry",34.0,1,0,31027,21.0,0,1,1,1,0,1
477,478,0,"Braund, Mr. Lewis Richard",29.0,1,0,3460,7.0458,0,0,1,1,0,1
478,479,0,"Karlsson, Mr. Nils August",22.0,0,0,350060,7.5208,0,0,1,1,0,0
479,480,1,"Hirvonen, Miss. Hildur E",2.0,0,1,3101298,12.2875,0,0,0,1,0,1
480,481,0,"Goodwin, Master. Harold Victor",9.0,5,2,CA 2144,46.9,0,0,1,1,0,7
482,483,0,"Rouse, Mr. Richard Henry",50.0,0,0,A/5 3594,8.05,0,0,1,1,0,0
483,484,1,"Turkula, Mrs. (Hedwig)",63.0,0,0,4134,9.5875,0,0,0,1,0,0
487,488,0,"Kent, Mr. Edward Austin",58.0,0,0,11771,29.7,1,0,1,0,1,0
488,489,0,"Somerton, Mr. Francis William",30.0,0,0,A.5. 18509,8.05,0,0,1,1,0,0
489,490,1,"Coutts, Master. Eden Leslie ""Neville""",9.0,1,1,C.A. 37671,15.9,0,0,1,1,0,2
491,492,0,"Windelov, Mr. Einar",21.0,0,0,SOTON/OQ 3101317,7.25,0,0,1,1,0,0
492,493,0,"Molson, Mr. Harry Markland",55.0,0,0,113787,30.5,1,0,1,1,0,0
493,494,0,"Artagaveytia, Mr. Ramon",71.0,0,0,PC 17609,49.5042,1,0,1,0,1,0
494,495,0,"Stanley, Mr. Edward Roland",21.0,0,0,A/4 45380,8.05,0,0,1,1,0,0
499,500,0,"Svensson, Mr. Olof",24.0,0,0,350035,7.7958,0,0,1,1,0,0
500,501,0,"Calic, Mr. Petar",17.0,0,0,315086,8.6625,0,0,1,1,0,0
501,502,0,"Canavan, Miss. Mary",21.0,0,0,364846,7.75,0,0,0,0,0,0
503,504,0,"Laitinen, Miss. Kristina Sofia",37.0,0,0,4135,9.5875,0,0,0,1,0,0
506,507,1,"Quick, Mrs. Frederick Charles (Jane Richards)",33.0,0,2,26360,26.0,0,1,0,1,0,2
508,509,0,"Olsen, Mr. Henry Margido",28.0,0,0,C 4001,22.525,0,0,1,1,0,0
509,510,1,"Lang, Mr. Fang",26.0,0,0,1601,56.4958,0,0,1,1,0,0
510,511,1,"Daly, Mr. Eugene Patrick",29.0,0,0,382651,7.75,0,0,1,0,0,0
512,513,1,"McGough, Mr. James Robert",36.0,0,0,PC 17473,26.2875,1,0,1,1,0,0
513,514,1,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",54.0,1,0,PC 17603,59.4,1,0,0,0,1,1
514,515,0,"Coleff, Mr. Satio",24.0,0,0,349209,7.4958,0,0,1,1,0,0
515,516,0,"Walker, Mr. William Anderson",47.0,0,0,36967,34.0208,1,0,1,1,0,0
516,517,1,"Lemore, Mrs. (Amelia Milley)",34.0,0,0,C.A. 34260,10.5,0,1,0,1,0,0
518,519,1,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",36.0,1,0,226875,26.0,0,1,0,1,0,1
519,520,0,"Pavlovic, Mr. Stefo",32.0,0,0,349242,7.8958,0,0,1,1,0,0
521,522,0,"Vovk, Mr. Janko",22.0,0,0,349252,7.8958,0,0,1,1,0,0
523,524,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",44.0,0,1,111361,57.9792,1,0,0,0,1,1
525,526,0,"Farrell, Mr. James",40.5,0,0,367232,7.75,0,0,1,0,0,0
526,527,1,"Ridsdale, Miss. Lucy",50.0,0,0,W./C. 14258,10.5,0,1,0,1,0,0
528,529,0,"Salonen, Mr. Johan Werner",39.0,0,0,3101296,7.925,0,0,1,1,0,0
529,530,0,"Hocking, Mr. Richard George",23.0,2,1,29104,11.5,0,1,1,1,0,3
530,531,1,"Quick, Miss. Phyllis May",2.0,1,1,26360,26.0,0,1,0,1,0,2
532,533,0,"Elias, Mr. Joseph Jr",17.0,1,1,2690,7.2292,0,0,1,0,1,2
534,535,0,"Cacic, Miss. Marija",30.0,0,0,315084,8.6625,0,0,0,1,0,0
535,536,1,"Hart, Miss. Eva Miriam",7.0,0,2,F.C.C. 13529,26.25,0,1,0,1,0,2
536,537,0,"Butt, Major. Archibald Willingham",45.0,0,0,113050,26.55,1,0,1,1,0,0
539,540,1,"Frolicher, Miss. Hedwig Margaritha",22.0,0,2,13568,49.5,1,0,0,0,1,2
541,542,0,"Andersson, Miss. Ingeborg Constanzia",9.0,4,2,347082,31.275,0,0,0,1,0,6
542,543,0,"Andersson, Miss. Sigrid Elisabeth",11.0,4,2,347082,31.275,0,0,0,1,0,6
543,544,1,"Beane, Mr. Edward",32.0,1,0,2908,26.0,0,1,1,1,0,1
545,546,0,"Nicholson, Mr. Arthur Ernest",64.0,0,0,693,26.0,1,0,1,1,0,0
546,547,1,"Beane, Mrs. Edward (Ethel Clarke)",19.0,1,0,2908,26.0,0,1,0,1,0,1
548,549,0,"Goldsmith, Mr. Frank John",33.0,1,1,363291,20.525,0,0,1,1,0,2
549,550,1,"Davies, Master. John Morgan Jr",8.0,1,1,C.A. 33112,36.75,0,1,1,1,0,2
551,552,0,"Sharp, Mr. Percival James R",27.0,0,0,244358,26.0,0,1,1,1,0,0
553,554,1,"Leeni, Mr. Fahim (""Philip Zenni"")",22.0,0,0,2620,7.225,0,0,1,0,1,0
554,555,1,"Ohman, Miss. Velin",22.0,0,0,347085,7.775,0,0,0,1,0,0
555,556,0,"Wright, Mr. George",62.0,0,0,113807,26.55,1,0,1,1,0,0
556,557,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",48.0,1,0,11755,39.6,1,0,0,0,1,1
559,560,1,"de Messemaeker, Mrs. Guillaume Joseph (Emma)",36.0,1,0,345572,17.4,0,0,0,1,0,1
561,562,0,"Sivic, Mr. Husein",40.0,0,0,349251,7.8958,0,0,1,1,0,0
562,563,0,"Norman, Mr. Robert Douglas",28.0,0,0,218629,13.5,0,1,1,1,0,0
565,566,0,"Davies, Mr. Alfred J",24.0,2,0,A/4 48871,24.15,0,0,1,1,0,2
566,567,0,"Stoytcheff, Mr. Ilia",19.0,0,0,349205,7.8958,0,0,1,1,0,0
567,568,0,"Palsson, Mrs. Nils (Alma Cornelia Berglund)",29.0,0,4,349909,21.075,0,0,0,1,0,4
569,570,1,"Jonsson, Mr. Carl",32.0,0,0,350417,7.8542,0,0,1,1,0,0
570,571,1,"Harris, Mr. George",62.0,0,0,S.W./PP 752,10.5,0,1,1,1,0,0
571,572,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",53.0,2,0,11769,51.4792,1,0,0,1,0,2
572,573,1,"Flynn, Mr. John Irwin (""Irving"")",36.0,0,0,PC 17474,26.3875,1,0,1,1,0,0
574,575,0,"Rush, Mr. Alfred George John",16.0,0,0,A/4. 20589,8.05,0,0,1,1,0,0
575,576,0,"Patchett, Mr. George",19.0,0,0,358585,14.5,0,0,1,1,0,0
576,577,1,"Garside, Miss. Ethel",34.0,0,0,243880,13.0,0,1,0,1,0,0
577,578,1,"Silvey, Mrs. William Baird (Alice Munger)",39.0,1,0,13507,55.9,1,0,0,1,0,1
579,580,1,"Jussila, Mr. Eiriik",32.0,0,0,STON/O 2. 3101286,7.925,0,0,1,1,0,0
580,581,1,"Christy, Miss. Julie Rachel",25.0,1,1,237789,30.0,0,1,0,1,0,2
582,583,0,"Downton, Mr. William James",54.0,0,0,28403,26.0,0,1,1,1,0,0
583,584,0,"Ross, Mr. John Hugo",36.0,0,0,13049,40.125,1,0,1,0,1,0
586,587,0,"Jarvis, Mr. John Denzil",47.0,0,0,237565,15.0,0,1,1,1,0,0
588,589,0,"Gilinski, Mr. Eliezer",22.0,0,0,14973,8.05,0,0,1,1,0,0
590,591,0,"Rintamaki, Mr. Matti",35.0,0,0,STON/O 2. 3101273,7.125,0,0,1,1,0,0
592,593,0,"Elsbury, Mr. William James",47.0,0,0,A/5 3902,7.25,0,0,1,1,0,0
594,595,0,"Chapman, Mr. John Henry",37.0,1,0,SC/AH 29037,26.0,0,1,1,1,0,1
595,596,0,"Van Impe, Mr. Jean Baptiste",36.0,1,1,345773,24.15,0,0,1,1,0,2
597,598,0,"Johnson, Mr. Alfred",49.0,0,0,LINE,0.0,0,0,1,1,0,0
599,600,1,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",49.0,1,0,PC 17485,56.9292,1,0,1,0,1,1
600,601,1,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",24.0,2,1,243847,27.0,0,1,0,1,0,3
603,604,0,"Torber, Mr. Ernst William",44.0,0,0,364511,8.05,0,0,1,1,0,0
604,605,1,"Homer, Mr. Harry (""Mr E Haven"")",35.0,0,0,111426,26.55,1,0,1,0,1,0
605,606,0,"Lindell, Mr. Edvard Bengtsson",36.0,1,0,349910,15.55,0,0,1,1,0,1
606,607,0,"Karaic, Mr. Milan",30.0,0,0,349246,7.8958,0,0,1,1,0,0
607,608,1,"Daniel, Mr. Robert Williams",27.0,0,0,113804,30.5,1,0,1,1,0,0
608,609,1,"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",22.0,1,2,SC/Paris 2123,41.5792,0,1,0,0,1,3
610,611,0,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",39.0,1,5,347082,31.275,0,0,0,1,0,6
614,615,0,"Brocklebank, Mr. William Alfred",35.0,0,0,364512,8.05,0,0,1,1,0,0
615,616,1,"Herman, Miss. Alice",24.0,1,2,220845,65.0,0,1,0,1,0,3
616,617,0,"Danbom, Mr. Ernst Gilbert",34.0,1,1,347080,14.4,0,0,1,1,0,2
617,618,0,"Lobb, Mrs. William Arthur (Cordelia K Stanlick)",26.0,1,0,A/5. 3336,16.1,0,0,0,1,0,1
618,619,1,"Becker, Miss. Marion Louise",4.0,2,1,230136,39.0,0,1,0,1,0,3
619,620,0,"Gavey, Mr. Lawrence",26.0,0,0,31028,10.5,0,1,1,1,0,0
620,621,0,"Yasbeck, Mr. Antoni",27.0,1,0,2659,14.4542,0,0,1,0,1,1
621,622,1,"Kimball, Mr. Edwin Nelson Jr",42.0,1,0,11753,52.5542,1,0,1,1,0,1
622,623,1,"Nakid, Mr. Sahid",20.0,1,1,2653,15.7417,0,0,1,0,1,2
623,624,0,"Hansen, Mr. Henry Damsgaard",21.0,0,0,350029,7.8542,0,0,1,1,0,0
624,625,0,"Bowen, Mr. David John ""Dai""",21.0,0,0,54636,16.1,0,0,1,1,0,0
625,626,0,"Sutton, Mr. Frederick",61.0,0,0,36963,32.3208,1,0,1,1,0,0
626,627,0,"Kirkland, Rev. Charles Leonard",57.0,0,0,219533,12.35,0,1,1,0,0,0
628,629,0,"Bostandyeff, Mr. Guentcho",26.0,0,0,349224,7.8958,0,0,1,1,0,0
630,631,1,"Barkworth, Mr. Algernon Henry Wilson",80.0,0,0,27042,30.0,1,0,1,1,0,0
631,632,0,"Lundahl, Mr. Johan Svensson",51.0,0,0,347743,7.0542,0,0,1,1,0,0
632,633,1,"Stahelin-Maeglin, Dr. Max",32.0,0,0,13214,30.5,1,0,1,0,1,0
634,635,0,"Skoog, Miss. Mabel",9.0,3,2,347088,27.9,0,0,0,1,0,5
635,636,1,"Davis, Miss. Mary",28.0,0,0,237668,13.0,0,1,0,1,0,0
636,637,0,"Leinonen, Mr. Antti Gustaf",32.0,0,0,STON/O 2. 3101292,7.925,0,0,1,1,0,0
637,638,0,"Collyer, Mr. Harvey",31.0,1,1,C.A. 31921,26.25,0,1,1,1,0,2
638,639,0,"Panula, Mrs. Juha (Maria Emilia Ojala)",41.0,0,5,3101295,39.6875,0,0,0,1,0,5
640,641,0,"Jensen, Mr. Hans Peder",20.0,0,0,350050,7.8542,0,0,1,1,0,0
642,643,0,"Skoog, Miss. Margit Elizabeth",2.0,3,2,347088,27.9,0,0,0,1,0,5
644,645,1,"Baclini, Miss. Eugenie",0.75,2,1,2666,19.2583,0,0,0,0,1,3
646,647,0,"Cor, Mr. Liudevit",19.0,0,0,349231,7.8958,0,0,1,1,0,0
647,648,1,"Simonius-Blumer, Col. Oberst Alfons",56.0,0,0,13213,35.5,1,0,1,0,1,0
649,650,1,"Stanley, Miss. Amy Zillah Elsie",23.0,0,0,CA. 2314,7.55,0,0,0,1,0,0
651,652,1,"Doling, Miss. Elsie",18.0,0,1,231919,23.0,0,1,0,1,0,1
652,653,0,"Kalvik, Mr. Johannes Halvorsen",21.0,0,0,8475,8.4333,0,0,1,1,0,0
654,655,0,"Hegarty, Miss. Hanora ""Nora""",18.0,0,0,365226,6.75,0,0,0,0,0,0
657,658,0,"Bourke, Mrs. John (Catherine)",32.0,1,1,364849,15.5,0,0,0,0,0,2
658,659,0,"Eitemiller, Mr. George Floyd",23.0,0,0,29751,13.0,0,1,1,1,0,0
661,662,0,"Badt, Mr. Mohamed",40.0,0,0,2623,7.225,0,0,1,0,1,0
662,663,0,"Colley, Mr. Edward Pomeroy",47.0,0,0,5727,25.5875,1,0,1,1,0,0
663,664,0,"Coleff, Mr. Peju",36.0,0,0,349210,7.4958,0,0,1,1,0,0
664,665,1,"Lindqvist, Mr. Eino William",20.0,1,0,STON/O 2. 3101285,7.925,0,0,1,1,0,1
666,667,0,"Butler, Mr. Reginald Fenton",25.0,0,0,234686,13.0,0,1,1,1,0,0
668,669,0,"Cook, Mr. Jacob",43.0,0,0,A/5 3536,8.05,0,0,1,1,0,0
670,671,1,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",40.0,1,1,29750,39.0,0,1,0,1,0,2
671,672,0,"Davidson, Mr. Thornton",31.0,1,0,F.C. 12750,52.0,1,0,1,1,0,1
672,673,0,"Mitchell, Mr. Henry Michael",70.0,0,0,C.A. 24580,10.5,0,1,1,1,0,0
673,674,1,"Wilhelms, Mr. Charles",31.0,0,0,244270,13.0,0,1,1,1,0,0
675,676,0,"Edvardsson, Mr. Gustaf Hjalmar",18.0,0,0,349912,7.775,0,0,1,1,0,0
676,677,0,"Sawyer, Mr. Frederick Charles",24.5,0,0,342826,8.05,0,0,1,1,0,0
677,678,1,"Turja, Miss. Anna Sofia",18.0,0,0,4138,9.8417,0,0,0,1,0,0
678,679,0,"Goodwin, Mrs. Frederick (Augusta Tyler)",43.0,1,6,CA 2144,46.9,0,0,0,1,0,7
682,683,0,"Olsvigen, Mr. Thor Anderson",20.0,0,0,6563,9.225,0,0,1,1,0,0
683,684,0,"Goodwin, Mr. Charles Edward",14.0,5,2,CA 2144,46.9,0,0,1,1,0,7
684,685,0,"Brown, Mr. Thomas William Solomon",60.0,1,1,29750,39.0,0,1,1,1,0,2
685,686,0,"Laroche, Mr. Joseph Philippe Lemercier",25.0,1,2,SC/Paris 2123,41.5792,0,1,1,0,1,3
686,687,0,"Panula, Mr. Jaako Arnold",14.0,4,1,3101295,39.6875,0,0,1,1,0,5
687,688,0,"Dakic, Mr. Branko",19.0,0,0,349228,10.1708,0,0,1,1,0,0
688,689,0,"Fischer, Mr. Eberhard Thelander",18.0,0,0,350036,7.7958,0,0,1,1,0,0
690,691,1,"Dick, Mr. Albert Adrian",31.0,1,0,17474,57.0,1,0,1,1,0,1
691,692,1,"Karun, Miss. Manca",4.0,0,1,349256,13.4167,0,0,0,0,1,1
693,694,0,"Saad, Mr. Khalil",25.0,0,0,2672,7.225,0,0,1,0,1,0
694,695,0,"Weir, Col. John",60.0,0,0,113800,26.55,1,0,1,1,0,0
695,696,0,"Chapman, Mr. Charles Henry",52.0,0,0,248731,13.5,0,1,1,1,0,0
696,697,0,"Kelly, Mr. James",44.0,0,0,363592,8.05,0,0,1,1,0,0
699,700,0,"Humblen, Mr. Adolf Mathias Nicolai Olsen",42.0,0,0,348121,7.65,0,0,1,1,0,0
701,702,1,"Silverthorne, Mr. Spencer Victor",35.0,0,0,PC 17475,26.2875,1,0,1,1,0,0
702,703,0,"Barbara, Miss. Saiide",18.0,0,1,2691,14.4542,0,0,0,0,1,1
703,704,0,"Gallagher, Mr. Martin",25.0,0,0,36864,7.7417,0,0,1,0,0,0
704,705,0,"Hansen, Mr. Henrik Juul",26.0,1,0,350025,7.8542,0,0,1,1,0,1
705,706,0,"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",39.0,0,0,250655,26.0,0,1,1,1,0,0
706,707,1,"Kelly, Mrs. Florence ""Fannie""",45.0,0,0,223596,13.5,0,1,0,1,0,0
707,708,1,"Calderhead, Mr. Edward Pennington",42.0,0,0,PC 17476,26.2875,1,0,1,1,0,0
710,711,1,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",24.0,0,0,PC 17482,49.5042,1,0,0,0,1,0
712,713,1,"Taylor, Mr. Elmer Zebley",48.0,1,0,19996,52.0,1,0,1,1,0,1
713,714,0,"Larsson, Mr. August Viktor",29.0,0,0,7545,9.4833,0,0,1,1,0,0
714,715,0,"Greenberg, Mr. Samuel",52.0,0,0,250647,13.0,0,1,1,1,0,0
715,716,0,"Soholt, Mr. Peter Andreas Lauritz Andersen",19.0,0,0,348124,7.65,0,0,1,1,0,0
717,718,1,"Troutt, Miss. Edwina Celia ""Winnie""",27.0,0,0,34218,10.5,0,1,0,1,0,0
719,720,0,"Johnson, Mr. Malkolm Joackim",33.0,0,0,347062,7.775,0,0,1,1,0,0
720,721,1,"Harper, Miss. Annie Jessie ""Nina""",6.0,0,1,248727,33.0,0,1,0,1,0,1
721,722,0,"Jensen, Mr. Svend Lauritz",17.0,1,0,350048,7.0542,0,0,1,1,0,1
722,723,0,"Gillespie, Mr. William Henry",34.0,0,0,12233,13.0,0,1,1,1,0,0
723,724,0,"Hodges, Mr. Henry Price",50.0,0,0,250643,13.0,0,1,1,1,0,0
724,725,1,"Chambers, Mr. Norman Campbell",27.0,1,0,113806,53.1,1,0,1,1,0,1
725,726,0,"Oreskovic, Mr. Luka",20.0,0,0,315094,8.6625,0,0,1,1,0,0
726,727,1,"Renouf, Mrs. Peter Henry (Lillian Jefferys)",30.0,3,0,31027,21.0,0,1,0,1,0,3
728,729,0,"Bryhl, Mr. Kurt Arnold Gottfrid",25.0,1,0,236853,26.0,0,1,1,1,0,1
729,730,0,"Ilmakangas, Miss. Pieta Sofia",25.0,1,0,STON/O2. 3101271,7.925,0,0,0,1,0,1
731,732,0,"Hassan, Mr. Houssein G N",11.0,0,0,2699,18.7875,0,0,1,0,1,0
733,734,0,"Berriman, Mr. William John",23.0,0,0,28425,13.0,0,1,1,1,0,0
734,735,0,"Troupiansky, Mr. Moses Aaron",23.0,0,0,233639,13.0,0,1,1,1,0,0
735,736,0,"Williams, Mr. Leslie",28.5,0,0,54636,16.1,0,0,1,1,0,0
736,737,0,"Ford, Mrs. Edward (Margaret Ann Watson)",48.0,1,3,W./C. 6608,34.375,0,0,0,1,0,4
743,744,0,"McNamee, Mr. Neal",24.0,1,0,376566,16.1,0,0,1,1,0,1
744,745,1,"Stranden, Mr. Juho",31.0,0,0,STON/O 2. 3101288,7.925,0,0,1,1,0,0
746,747,0,"Abbott, Mr. Rossmore Edward",16.0,1,1,C.A. 2673,20.25,0,0,1,1,0,2
747,748,1,"Sinkkonen, Miss. Anna",30.0,0,0,250648,13.0,0,1,0,1,0,0
748,749,0,"Marvin, Mr. Daniel Warner",19.0,1,0,113773,53.1,1,0,1,1,0,1
749,750,0,"Connaghton, Mr. Michael",31.0,0,0,335097,7.75,0,0,1,0,0,0
750,751,1,"Wells, Miss. Joan",4.0,1,1,29103,23.0,0,1,0,1,0,2
751,752,1,"Moor, Master. Meier",6.0,0,1,392096,12.475,0,0,1,1,0,1
752,753,0,"Vande Velde, Mr. Johannes Joseph",33.0,0,0,345780,9.5,0,0,1,1,0,0
753,754,0,"Jonkoff, Mr. Lalio",23.0,0,0,349204,7.8958,0,0,1,1,0,0
754,755,1,"Herman, Mrs. Samuel (Jane Laver)",48.0,1,2,220845,65.0,0,1,0,1,0,3
755,756,1,"Hamalainen, Master. Viljo",0.67,1,1,250649,14.5,0,1,1,1,0,2
756,757,0,"Carlsson, Mr. August Sigfrid",28.0,0,0,350042,7.7958,0,0,1,1,0,0
757,758,0,"Bailey, Mr. Percy Andrew",18.0,0,0,29108,11.5,0,1,1,1,0,0
758,759,0,"Theobald, Mr. Thomas Leonard",34.0,0,0,363294,8.05,0,0,1,1,0,0
